Geo,Year,CenterPropWkrPay,InnerPropWkrPay,OuterPropWkrPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
Corvallis,2025,0.4659985,0,0,0.004712786,0,0,1.717108,0,0
Corvallis,2030,0.471331333,0,0,0.009452888,0,0,1.812810667,0,0
Corvallis,2035,0.476664167,0,0,0.014094547,0,0,1.908513333,0,0
Corvallis,2040,0.481997,0,0,0.018814435,0,0,2.004216,0,0
Corvallis,2045,0.481997,0,0,0.023435854,0,0,2.004216,0,0
Corvallis,2050,0.481997,0,0,0.028125338,0,0,2.004216,0,0
EugeneSpringfield,1990,0.05,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,1995,0.05,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,2000,0.05,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,2005,0.0715,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,2010,0.0715,0,0,0,0,0,2.839285714,0,0
EugeneSpringfield,2015,0.0706,0,0,0,0,0,2.862738095,0,0
EugeneSpringfield,2020,0.0697,0,0,0,0,0,2.886190476,0,0
EugeneSpringfield,2025,0.0738,0,0,0.004712786,0,0,2.909642857,0,0
EugeneSpringfield,2030,0.0779,0,0,0.009452888,0,0,2.933095238,0,0
EugeneSpringfield,2035,0.082,0,0,0.014094547,0,0,2.956547619,0,0
EugeneSpringfield,2040,0.087,0,0,0.018814435,0,0,2.98,0,0
EugeneSpringfield,2045,0.092,0,0,0.023435854,0,0,2.98,0,0
EugeneSpringfield,2050,0.097,0,0,0.028125338,0,0,2.98,0,0
RogueValley,1990,0.11,0,0,0,0,0,2.89,0,0
RogueValley,1995,0.11,0,0,0,0,0,2.89,0,0
RogueValley,2000,0.11,0,0,0,0,0,2.89,0,0
RogueValley,2005,0.11,0,0,0,0,0,2.89,0,0
RogueValley,2010,0.11,0,0,0,0,0,2.89,0,0
RogueValley,2015,0.106081,0,0,0,0,0,3.340993833,0,0
RogueValley,2020,0.102162,0,0,0,0,0,3.791987667,0,0
RogueValley,2025,0.098243,0,0,0.004712786,0,0,4.2429815,0,0
RogueValley,2030,0.094324,0,0,0.009452888,0,0,4.693975333,0,0
RogueValley,2035,0.090405,0,0,0.014094547,0,0,5.144969167,0,0
RogueValley,2040,0.086486,0,0,0.018814435,0,0,5.595963,0,0
RogueValley,2045,0.086486,0,0,0.023435854,0,0,5.595963,0,0
RogueValley,2050,0.086486,0,0,0.028125338,0,0,5.595963,0,0
SalemKeizer,1990,0.32,0,0,0,0,0,4.12,0,0
SalemKeizer,1995,0.32,0,0,0,0,0,4.12,0,0
SalemKeizer,2000,0.32,0,0,0,0,0,4.12,0,0
SalemKeizer,2005,0.32,0,0,0,0,0,4.12,0,0
SalemKeizer,2010,0.32,0,0,0,0,0,4.12,0,0
SalemKeizer,2015,0.3116822,0,0,0,0,0,4.1205458,0,0
SalemKeizer,2020,0.3033644,0,0,0,0,0,4.1210916,0,0
SalemKeizer,2025,0.2950466,0,0,0.004712786,0,0,4.1216374,0,0
SalemKeizer,2030,0.2867288,0,0,0.009452888,0,0,4.1221832,0,0
SalemKeizer,2035,0.278411,0,0,0.014094547,0,0,4.122729,0,0
SalemKeizer,2040,0.278411,0,0,0.018814435,0,0,4.122729,0,0
SalemKeizer,2045,0.278411,0,0,0.023435854,0,0,4.122729,0,0
SalemKeizer,2050,0.278411,0,0,0.028125338,0,0,4.122729,0,0
Albany,1990,0.02,0,0,0,0,0,2.43,0,0
Albany,1995,0.02,0,0,0,0,0,2.43,0,0
Albany,2000,0.02,0,0,0,0,0,2.43,0,0
Albany,2005,0.02,0,0,0,0,0,2.43,0,0
Albany,2010,0.02,0,0,0,0,0,2.43,0,0
Albany,2015,0.019071167,0,0,0,0,0,2.429263,0,0
Albany,2020,0.018142333,0,0,0,0,0,2.428526,0,0
Albany,2025,0.0172135,0,0,0.004712786,0,0,2.427789,0,0
Albany,2030,0.016284667,0,0,0.009452888,0,0,2.427052,0,0
Albany,2035,0.015355833,0,0,0.014094547,0,0,2.426315,0,0
Albany,2040,0.014427,0,0,0.018814435,0,0,2.425578,0,0
Albany,2045,0.014427,0,0,0.023435854,0,0,2.425578,0,0
Albany,2050,0.014427,0,0,0.028125338,0,0,2.425578,0,0
GrantsPass,1990,0,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0,0
GrantsPass,2015,0,0,0,0,0,0,0,0,0
GrantsPass,2020,0,0,0,0,0,0,0,0,0
GrantsPass,2025,0,0,0,0.004712786,0,0,0,0,0
GrantsPass,2030,0,0,0,0.009452888,0,0,0,0,0
GrantsPass,2035,0,0,0,0.014094547,0,0,0,0,0
GrantsPass,2040,0,0,0,0.018814435,0,0,0,0,0
GrantsPass,2045,0,0,0,0.023435854,0,0,0,0,0
GrantsPass,2050,0,0,0,0.028125338,0,0,0,0,0
None,1990,0.02,0,0,0,0,0,2.43,0,0
None,1995,0.02,0,0,0,0,0,2.43,0,0
None,2000,0.02,0,0,0,0,0,2.43,0,0
None,2005,0.02,0,0,0,0,0,2.43,0,0
None,2010,0.02,0,0,0,0,0,2.43,0,0
None,2015,0.019071167,0,0,0,0,0,2.429263,0,0
None,2020,0.018142333,0,0,0,0,0,2.428526,0,0
None,2025,0.0172135,0,0,0.004712786,0,0,2.427789,0,0
None,2030,0.016284667,0,0,0.009452888,0,0,2.427052,0,0
None,2035,0.015355833,0,0,0.014094547,0,0,2.426315,0,0
None,2040,0.014427,0,0,0.018814435,0,0,2.425578,0,0
None,2045,0.014427,0,0,0.023435854,0,0,2.425578,0,0
None,2050,0.014427,0,0,0.028125338,0,0,2.425578,0,0
