Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
EugeneSpringfield,2035,0.95,0.95,0.95,0.3,0,0
EugeneSpringfield,2040,0.95,0.95,0.95,0.32,0,0
EugeneSpringfield,2045,0.95,0.95,0.95,0.34,0,0
EugeneSpringfield,2050,0.95,0.95,0.95,0.36,0,0
GrantsPass,1990,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0
GrantsPass,2010,0,0.5,0.5,0,0,0
GrantsPass,2015,0.5,0.75,0.6,0.1,0,0
GrantsPass,2020,0.75,0.8,0.7,0.1,0,0
GrantsPass,2025,0.95,0.85,0.8,0.1,0,0
GrantsPass,2030,0.95,0.9,0.9,0.1,0,0
GrantsPass,2035,0.95,0.95,0.95,0.1,0,0
GrantsPass,2040,0.95,0.95,0.95,0.1,0,0
GrantsPass,2045,0.95,0.95,0.95,0.1,0,0
GrantsPass,2050,0.95,0.95,0.95,0.85,0,0
Metro,1990,0,0,0.5,0,0,0
Metro,1995,0,0,0,0,0,0
Metro,2000,0.5,0.5,0,0,0,0
Metro,2005,0.75,0.75,0,0,0,0
Metro,2010,0.98,0.8,0.58,0.2,0,0
Metro,2015,0.98,0.85,0.6,0.22,0,0
Metro,2020,0.98,0.9,0.7,0.24,0,0
Metro,2025,0.98,0.95,0.8,0.26,0,0
Metro,2030,0.98,0.95,0.9,0.28,0,0
Metro,2035,0.98,0.95,0.95,0.3,0,0
Metro,2040,0.98,0.95,0.95,0.32,0,0
Metro,2045,0.98,0.95,0.95,0.34,0,0
Metro,2050,0.98,0.95,0.95,0.36,0,0
RogueValley,1990,0,0,0.5,0,0,0
RogueValley,1995,0,0,0.5,0,0,0
RogueValley,2000,0,0,0.5,0,0,0
RogueValley,2005,0,0,0.5,0,0,0
RogueValley,2010,0,0.5,0.5,0,0,0
RogueValley,2015,0.5,0.75,0.6,0.1,0,0
RogueValley,2020,0.75,0.8,0.7,0.12,0,0
RogueValley,2025,0.95,0.85,0.8,0.14,0,0
RogueValley,2030,0.95,0.9,0.9,0.16,0,0
RogueValley,2035,0.95,0.95,0.95,0.18,0,0
RogueValley,2040,0.95,0.95,0.95,0.2,0,0
RogueValley,2045,0.95,0.95,0.95,0.22,0,0
RogueValley,2050,0.95,0.95,0.95,0.24,0,0
SalemKeizer,1990,0,0,0.5,0,0,0
SalemKeizer,1995,0,0,0,0,0,0
SalemKeizer,2000,0,0,0,0,0,0
SalemKeizer,2005,0,0,0,0,0,0
SalemKeizer,2010,0,0.5,0.76,0.07,0,0
SalemKeizer,2015,0.5,0.75,0.8,0.1,0,0
SalemKeizer,2020,0.75,0.8,0.9,0.12,0,0
SalemKeizer,2025,0.95,0.85,0.95,0.14,0,0
SalemKeizer,2030,0.95,0.9,0.95,0.16,0,0
SalemKeizer,2035,0.95,0.95,0.95,0.18,0,0
SalemKeizer,2040,0.95,0.95,0.95,0.2,0,0
SalemKeizer,2045,0.95,0.95,0.95,0.22,0,0
SalemKeizer,2050,0.95,0.95,0.95,0.24,0,0
None,1990,0,0,0,0,0,0
None,1995,0,0,0,0,0,0
None,2000,0,0,0,0,0,0
None,2005,0,0,0,0,0,0
None,2010,0,0,0,0,0,0
None,2015,0,0,0,0,0,0
None,2020,0,0,0,0,0,0
None,2025,0,0,0,0,0,0
None,2030,0,0,0,0,0,0
None,2035,0,0,0,0,0,0
None,2040,0,0,0,0,0,0
None,2045,0,0,0,0,0,0
None,2050,0,0,0,0,0,0
