Geo,Year,PaydHhProp
Lake,2045,1
Lane,2045,1
Lincoln,2045,1
Linn,2045,1
Malheur,2045,1
Marion,2045,1
Morrow,2045,1
Multnomah,2045,1
Polk,2045,1
Sherman,2045,1
Tillamook,2045,1
Umatilla,2045,1
Union,2045,1
Wallowa,2045,1
Wasco,2045,1
Washington,2045,1
Wheeler,2045,1
Yamhill,2045,1
Baker,2050,1
Benton,2050,1
Clackamas,2050,1
Clatsop,2050,1
Columbia,2050,1
Coos,2050,1
Crook,2050,1
Curry,2050,1
Deschutes,2050,1
Douglas,2050,1
Gilliam,2050,1
Grant,2050,1
Harney,2050,1
Hood River,2050,1
Jackson,2050,1
Jefferson,2050,1
Josephine,2050,1
Klamath,2050,1
Lake,2050,1
Lane,2050,1
Lincoln,2050,1
Linn,2050,1
Malheur,2050,1
Marion,2050,1
Morrow,2050,1
Multnomah,2050,1
Polk,2050,1
Sherman,2050,1
Tillamook,2050,1
Umatilla,2050,1
Union,2050,1
Wallowa,2050,1
Wasco,2050,1
Washington,2050,1
Wheeler,2050,1
Yamhill,2050,1
