Geo,Year,LtTrkProp
Hood River,2030,0.486
Jackson,2030,0.486
Jefferson,2030,0.48
Josephine,2030,0.41
Klamath,2030,0.48
Lake,2030,0.48
Lane,2030,0.43
Lincoln,2030,0.486
Linn,2030,0.486
Malheur,2030,0.48
Marion,2030,0.43
Morrow,2030,0.48
Multnomah,2030,0.31
Polk,2030,0.43
Sherman,2030,0.42
Tillamook,2030,0.48
Umatilla,2030,0.41
Union,2030,0.48
Wallowa,2030,0.51
Wasco,2030,0.486
Washington,2030,0.34
Wheeler,2030,0.48
Yamhill,2030,0.486
Baker,2035,0.42
Benton,2035,0.391
Clackamas,2035,0.391
Clatsop,2035,0.443
Columbia,2035,0.443
Coos,2035,0.443
Crook,2035,0.43
Curry,2035,0.4
Deschutes,2035,0.43
Douglas,2035,0.443
Gilliam,2035,0.43
Grant,2035,0.43
Harney,2035,0.43
Hood River,2035,0.443
Jackson,2035,0.443
Jefferson,2035,0.43
Josephine,2035,0.37
Klamath,2035,0.43
Lake,2035,0.43
Lane,2035,0.391
Lincoln,2035,0.443
Linn,2035,0.443
Malheur,2035,0.43
Marion,2035,0.391
Morrow,2035,0.43
Multnomah,2035,0.28
Polk,2035,0.391
Sherman,2035,0.38
Tillamook,2035,0.43
Umatilla,2035,0.37
Union,2035,0.43
Wallowa,2035,0.45
Wasco,2035,0.443
Washington,2035,0.31
Wheeler,2035,0.43
Yamhill,2035,0.443
Baker,2040,0.37
Benton,2040,0.337
Clackamas,2040,0.337
Clatsop,2040,0.385
Columbia,2040,0.385
Coos,2040,0.385
Crook,2040,0.38
Curry,2040,0.35
Deschutes,2040,0.38
Douglas,2040,0.385
Gilliam,2040,0.38
Grant,2040,0.38
Harney,2040,0.38
Hood River,2040,0.385
Jackson,2040,0.385
Jefferson,2040,0.38
Josephine,2040,0.33
Klamath,2040,0.38
Lake,2040,0.38
Lane,2040,0.337
Lincoln,2040,0.385
Linn,2040,0.385
Malheur,2040,0.38
Marion,2040,0.337
Morrow,2040,0.38
Multnomah,2040,0.25
Polk,2040,0.337
Sherman,2040,0.34
Tillamook,2040,0.38
Umatilla,2040,0.33
Union,2040,0.38
Wallowa,2040,0.4
Wasco,2040,0.385
Washington,2040,0.27
Wheeler,2040,0.38
Yamhill,2040,0.385
Baker,2045,0.32
Benton,2045,0.274
Clackamas,2045,0.274
Clatsop,2045,0.313
Columbia,2045,0.313
Coos,2045,0.313
Crook,2045,0.33
Curry,2045,0.31
Deschutes,2045,0.33
Douglas,2045,0.313
Gilliam,2045,0.33
Grant,2045,0.33
Harney,2045,0.33
Hood River,2045,0.313
Jackson,2045,0.313
Jefferson,2045,0.33
Josephine,2045,0.29
Klamath,2045,0.33
Lake,2045,0.33
Lane,2045,0.274
Lincoln,2045,0.313
Linn,2045,0.313
Malheur,2045,0.33
Marion,2045,0.274
Morrow,2045,0.33
Multnomah,2045,0.22
Polk,2045,0.274
Sherman,2045,0.29
Tillamook,2045,0.33
Umatilla,2045,0.29
Union,2045,0.33
Wallowa,2045,0.35
Wasco,2045,0.313
Washington,2045,0.24
Wheeler,2045,0.33
Yamhill,2045,0.313
Baker,2050,0.28
Benton,2050,0.206
Clackamas,2050,0.206
Clatsop,2050,0.237
Columbia,2050,0.237
Coos,2050,0.237
Crook,2050,0.28
Curry,2050,0.26
Deschutes,2050,0.28
Douglas,2050,0.237
Gilliam,2050,0.28
Grant,2050,0.28
Harney,2050,0.28
Hood River,2050,0.237
Jackson,2050,0.237
Jefferson,2050,0.28
Josephine,2050,0.25
Klamath,2050,0.28
Lake,2050,0.28
Lane,2050,0.206
Lincoln,2050,0.237
Linn,2050,0.237
Malheur,2050,0.28
Marion,2050,0.206
Morrow,2050,0.28
Multnomah,2050,0.19
Polk,2050,0.206
Sherman,2050,0.25
Tillamook,2050,0.28
Umatilla,2050,0.25
Union,2050,0.28
Wallowa,2050,0.3
Wasco,2050,0.237
Washington,2050,0.2
Wheeler,2050,0.28
Yamhill,2050,0.237
