Geo,Year,FwyNoneCongChg.2010,FwyModCongChg.2010,FwyHvyCongChg.2010,FwySevCongChg.2010,FwyExtCongChg.2010,ArtNoneCongChg.2010,ArtModCongChg.2010,ArtHvyCongChg.2010,ArtSevCongChg.2010,ArtExtCongChg.2010
Bend,2015,0,0,0,0,0,0,0,0,0,0
Corvallis,2015,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2015,0,0,0,0,0,0,0,0,0,0
GrantsPass,2015,0,0,0,0,0,0,0,0,0,0
Metro,2015,0,0,0,0.01,0.01,0,0,0,0.01,0.01
RogueValley,2015,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2015,0,0,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0,0,0
Albany,2020,0,0,0,0,0,0,0,0,0,0
Bend,2020,0,0,0,0,0,0,0,0,0,0
Corvallis,2020,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2020,0,0,0,0,0,0,0,0,0,0
GrantsPass,2020,0,0,0,0,0,0,0,0,0,0
Metro,2020,0,0,0,0.03,0.03,0,0,0,0.03,0.03
RogueValley,2020,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2020,0,0,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0,0,0
Albany,2025,0,0,0,0,0,0,0,0,0,0
Bend,2025,0,0,0,0,0,0,0,0,0,0
Corvallis,2025,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2025,0,0,0,0,0,0,0,0,0,0
GrantsPass,2025,0,0,0,0,0,0,0,0,0,0
Metro,2025,0,0,0,0.075,0.075,0,0,0,0.075,0.075
RogueValley,2025,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2025,0,0,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0,0,0
Albany,2030,0,0,0,0,0,0,0,0,0,0
Bend,2030,0,0,0,0,0,0,0,0,0,0
Corvallis,2030,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2030,0,0,0,0,0,0,0,0,0,0
GrantsPass,2030,0,0,0,0,0,0,0,0,0,0
Metro,2030,0,0,0,0.135,0.135,0,0,0,0.135,0.135
RogueValley,2030,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2030,0,0,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0,0,0
Albany,2035,0,0,0,0,0,0,0,0,0,0
Bend,2035,0,0,0,0,0,0,0,0,0,0
Corvallis,2035,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2035,0,0,0,0,0,0,0,0,0,0
GrantsPass,2035,0,0,0,0,0,0,0,0,0,0
Metro,2035,0,0,0,0.176,0.176,0,0,0,0.176,0.176
RogueValley,2035,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2035,0,0,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0,0,0
Albany,2040,0,0,0,0,0,0,0,0,0,0
Bend,2040,0,0,0,0,0,0,0,0,0,0
Corvallis,2040,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2040,0,0,0,0,0,0,0,0,0,0
GrantsPass,2040,0,0,0,0,0,0,0,0,0,0
Metro,2040,0,0,0,0.193,0.193,0,0,0,0.193,0.193
RogueValley,2040,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2040,0,0,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0
Albany,2045,0,0,0,0,0,0,0,0,0,0
Bend,2045,0,0,0,0,0,0,0,0,0,0
Corvallis,2045,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2045,0,0,0,0,0,0,0,0,0,0
GrantsPass,2045,0,0,0,0,0,0,0,0,0,0
Metro,2045,0,0,0,0.199,0.199,0,0,0,0.199,0.199
RogueValley,2045,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2045,0,0,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0,0,0
Albany,2050,0,0,0,0,0,0,0,0,0,0
Bend,2050,0,0,0,0,0,0,0,0,0,0
Corvallis,2050,0,0,0,0,0,0,0,0,0,0
EugeneSpringfield,2050,0,0,0,0,0,0,0,0,0,0
GrantsPass,2050,0,0,0,0,0,0,0,0,0,0
Metro,2050,0,0,0,0.2,0.2,0,0,0,0.2,0.2
RogueValley,2050,0,0,0,0,0,0,0,0,0,0
SalemKeizer,2050,0,0,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0,0,0
