Geo,Year,HighCarSvcCost.2005,LowCarSvcCost.2005,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
Wheeler,1995,2,4,10.56,0.75,0.95
Yamhill,1995,2,4,10.55,0.75,0.95
Baker,2000,2,4,10.47,0.75,0.95
Benton,2000,2,4,10.53,0.75,0.95
Clackamas,2000,2,4,10.55,0.75,0.95
Clatsop,2000,2,4,10.54,0.75,0.95
Columbia,2000,2,4,10.58,0.75,0.95
Coos,2000,2,4,10.56,0.75,0.95
Crook,2000,2,4,10.57,0.75,0.95
Curry,2000,2,4,10.55,0.75,0.95
Deschutes,2000,2,4,10.56,0.75,0.95
Douglas,2000,2,4,10.55,0.75,0.95
Gilliam,2000,2,4,10.79,0.75,0.95
Grant,2000,2,4,10.51,0.75,0.95
Harney,2000,2,4,10.60,0.75,0.95
Hood River,2000,2,4,10.56,0.75,0.95
Jackson,2000,2,4,10.55,0.75,0.95
Jefferson,2000,2,4,10.55,0.75,0.95
Josephine,2000,2,4,10.56,0.75,0.95
Klamath,2000,2,4,10.56,0.75,0.95
Lake,2000,2,4,10.65,0.75,0.95
Lane,2000,2,4,10.56,0.75,0.95
Lincoln,2000,2,4,10.52,0.75,0.95
Linn,2000,2,4,10.56,0.75,0.95
Malheur,2000,2,4,10.64,0.75,0.95
Marion,2000,2,4,10.55,0.75,0.95
Morrow,2000,2,4,10.58,0.75,0.95
Multnomah,2000,2,4,10.54,0.75,0.95
Polk,2000,2,4,10.55,0.75,0.95
Sherman,2000,2,4,10.37,0.75,0.95
Tillamook,2000,2,4,10.59,0.75,0.95
Umatilla,2000,2,4,10.62,0.75,0.95
Union,2000,2,4,10.56,0.75,0.95
Wallowa,2000,2,4,10.52,0.75,0.95
Wasco,2000,2,4,10.56,0.75,0.95
Washington,2000,2,4,10.53,0.75,0.95
Wheeler,2000,2,4,10.58,0.75,0.95
Yamhill,2000,2,4,10.54,0.75,0.95
Baker,2005,2,4,10.46,0.75,0.95
Benton,2005,2,4,10.53,0.75,0.95
Clackamas,2005,2,4,10.56,0.75,0.95
Clatsop,2005,2,4,10.53,0.75,0.95
Columbia,2005,2,4,10.62,0.75,0.95
Coos,2005,2,4,10.58,0.75,0.95
Crook,2005,2,4,10.57,0.75,0.95
Curry,2005,2,4,10.54,0.75,0.95
Deschutes,2005,2,4,10.57,0.75,0.95
Douglas,2005,2,4,10.58,0.75,0.95
Gilliam,2005,2,4,10.79,0.75,0.95
Grant,2005,2,4,10.53,0.75,0.95
Harney,2005,2,4,10.66,0.75,0.95
Hood River,2005,2,4,10.54,0.75,0.95
Jackson,2005,2,4,10.55,0.75,0.95
Jefferson,2005,2,4,10.57,0.75,0.95
Josephine,2005,2,4,10.56,0.75,0.95
Klamath,2005,2,4,10.58,0.75,0.95
Lake,2005,2,4,10.66,0.75,0.95
Lane,2005,2,4,10.57,0.75,0.95
Lincoln,2005,2,4,10.51,0.75,0.95
Linn,2005,2,4,10.55,0.75,0.95
Malheur,2005,2,4,10.63,0.75,0.95
Marion,2005,2,4,10.56,0.75,0.95
Morrow,2005,2,4,10.58,0.75,0.95
Multnomah,2005,2,4,10.53,0.75,0.95
Polk,2005,2,4,10.57,0.75,0.95
Sherman,2005,2,4,10.36,0.75,0.95
Tillamook,2005,2,4,10.58,0.75,0.95
Umatilla,2005,2,4,10.63,0.75,0.95
Union,2005,2,4,10.56,0.75,0.95
Wallowa,2005,2,4,10.54,0.75,0.95
Wasco,2005,2,4,10.55,0.75,0.95
Washington,2005,2,4,10.54,0.75,0.95
Wheeler,2005,2,4,10.59,0.75,0.95
Yamhill,2005,2,4,10.53,0.75,0.95
Baker,2010,2,4,10.65,0.75,0.95
Benton,2010,2,4,10.54,0.75,0.95
Clackamas,2010,2,4,10.56,0.75,0.95
Clatsop,2010,2,4,10.60,0.75,0.95
Columbia,2010,2,4,10.56,0.75,0.95
Coos,2010,2,4,10.53,0.75,0.95
Crook,2010,2,4,10.54,0.75,0.95
Curry,2010,2,4,10.55,0.75,0.95
Deschutes,2010,2,4,10.54,0.75,0.95
Douglas,2010,2,4,10.56,0.75,0.95
Gilliam,2010,2,4,10.52,0.75,0.95
Grant,2010,2,4,10.58,0.75,0.95
Harney,2010,2,4,10.61,0.75,0.95
Hood River,2010,2,4,10.51,0.75,0.95
Jackson,2010,2,4,10.59,0.75,0.95
Jefferson,2010,2,4,10.52,0.75,0.95
Josephine,2010,2,4,10.56,0.75,0.95
Klamath,2010,2,4,10.53,0.75,0.95
Lake,2010,2,4,10.58,0.75,0.95
Lane,2010,2,4,10.54,0.75,0.95
Lincoln,2010,2,4,10.59,0.75,0.95
Linn,2010,2,4,10.57,0.75,0.95
Malheur,2010,2,4,10.62,0.75,0.95
Marion,2010,2,4,10.56,0.75,0.95
Morrow,2010,2,4,10.63,0.75,0.95
Multnomah,2010,2,4,10.54,0.75,0.95
Polk,2010,2,4,10.56,0.75,0.95
Sherman,2010,2,4,10.66,0.75,0.95
Tillamook,2010,2,4,10.63,0.75,0.95
Umatilla,2010,2,4,10.53,0.75,0.95
Union,2010,2,4,10.58,0.75,0.95
Wallowa,2010,2,4,10.46,0.75,0.95
Wasco,2010,2,4,10.54,0.75,0.95
Washington,2010,2,4,10.54,0.75,0.95
Wheeler,2010,2,4,10.55,0.75,0.95
Yamhill,2010,2,4,10.58,0.75,0.95
Baker,2015,2,4,10.33,0.75,0.95
Benton,2015,2,4,10.33,0.75,0.95
Clackamas,2015,2,4,10.32,0.75,0.95
Clatsop,2015,2,4,10.35,0.75,0.95
Columbia,2015,2,4,10.34,0.75,0.95
Coos,2015,2,4,10.30,0.75,0.95
Crook,2015,2,4,10.32,0.75,0.95
Curry,2015,2,4,10.35,0.75,0.95
Deschutes,2015,2,4,10.31,0.75,0.95
Douglas,2015,2,4,10.32,0.75,0.95
Gilliam,2015,2,4,10.39,0.75,0.95
Grant,2015,2,4,10.34,0.75,0.95
Harney,2015,2,4,10.29,0.75,0.95
Hood River,2015,2,4,10.30,0.75,0.95
Jackson,2015,2,4,10.36,0.75,0.95
Jefferson,2015,2,4,10.32,0.75,0.95
Josephine,2015,2,4,10.32,0.75,0.95
Klamath,2015,2,4,10.31,0.75,0.95
Lake,2015,2,4,10.29,0.75,0.95
Lane,2015,2,4,10.31,0.75,0.95
Lincoln,2015,2,4,10.37,0.75,0.95
Linn,2015,2,4,10.34,0.75,0.95
Malheur,2015,2,4,10.38,0.75,0.95
Marion,2015,2,4,10.32,0.75,0.95
Morrow,2015,2,4,10.35,0.75,0.95
Multnomah,2015,2,4,10.32,0.75,0.95
Polk,2015,2,4,10.34,0.75,0.95
Sherman,2015,2,4,10.45,0.75,0.95
Tillamook,2015,2,4,10.35,0.75,0.95
Umatilla,2015,2,4,10.32,0.75,0.95
Union,2015,2,4,10.30,0.75,0.95
Wallowa,2015,2,4,10.34,0.75,0.95
Wasco,2015,2,4,10.32,0.75,0.95
Washington,2015,2,4,10.32,0.75,0.95
Wheeler,2015,2,4,10.25,0.75,0.95
Yamhill,2015,2,4,10.32,0.75,0.95
Baker,2020,2,4,10.01,0.75,0.95
Benton,2020,2,4,10.11,0.75,0.95
Clackamas,2020,2,4,10.08,0.75,0.95
Clatsop,2020,2,4,10.11,0.75,0.95
Columbia,2020,2,4,10.12,0.75,0.95
Coos,2020,2,4,10.08,0.75,0.95
Crook,2020,2,4,10.10,0.75,0.95
Curry,2020,2,4,10.16,0.75,0.95
Deschutes,2020,2,4,10.09,0.75,0.95
Douglas,2020,2,4,10.08,0.75,0.95
Gilliam,2020,2,4,10.27,0.75,0.95
Grant,2020,2,4,10.10,0.75,0.95
Harney,2020,2,4,9.97,0.75,0.95
Hood River,2020,2,4,10.09,0.75,0.95
Jackson,2020,2,4,10.13,0.75,0.95
Jefferson,2020,2,4,10.11,0.75,0.95
Josephine,2020,2,4,10.07,0.75,0.95
Klamath,2020,2,4,10.10,0.75,0.95
Lake,2020,2,4,10.00,0.75,0.95
Lane,2020,2,4,10.08,0.75,0.95
Lincoln,2020,2,4,10.14,0.75,0.95
Linn,2020,2,4,10.10,0.75,0.95
Malheur,2020,2,4,10.13,0.75,0.95
Marion,2020,2,4,10.09,0.75,0.95
Morrow,2020,2,4,10.07,0.75,0.95
Multnomah,2020,2,4,10.09,0.75,0.95
Polk,2020,2,4,10.12,0.75,0.95
Sherman,2020,2,4,10.24,0.75,0.95
Tillamook,2020,2,4,10.08,0.75,0.95
Umatilla,2020,2,4,10.10,0.75,0.95
Union,2020,2,4,10.02,0.75,0.95
Wallowa,2020,2,4,10.21,0.75,0.95
Wasco,2020,2,4,10.10,0.75,0.95
Washington,2020,2,4,10.09,0.75,0.95
Wheeler,2020,2,4,9.96,0.75,0.95
Yamhill,2020,2,4,10.07,0.75,0.95
Baker,2025,2,4,9.74,0.75,0.95
Benton,2025,2,4,9.79,0.75,0.95
Clackamas,2025,2,4,9.76,0.75,0.95
Clatsop,2025,2,4,9.78,0.75,0.95
Columbia,2025,2,4,9.80,0.75,0.95
Coos,2025,2,4,9.75,0.75,0.95
Crook,2025,2,4,9.80,0.75,0.95
Curry,2025,2,4,9.80,0.75,0.95
Deschutes,2025,2,4,9.76,0.75,0.95
Douglas,2025,2,4,9.76,0.75,0.95
Gilliam,2025,2,4,9.91,0.75,0.95
Grant,2025,2,4,9.78,0.75,0.95
Harney,2025,2,4,9.72,0.75,0.95
Hood River,2025,2,4,9.79,0.75,0.95
Jackson,2025,2,4,9.79,0.75,0.95
Jefferson,2025,2,4,9.79,0.75,0.95
Josephine,2025,2,4,9.76,0.75,0.95
Klamath,2025,2,4,9.78,0.75,0.95
Lake,2025,2,4,9.75,0.75,0.95
Lane,2025,2,4,9.76,0.75,0.95
Lincoln,2025,2,4,9.82,0.75,0.95
Linn,2025,2,4,9.78,0.75,0.95
Malheur,2025,2,4,9.78,0.75,0.95
Marion,2025,2,4,9.76,0.75,0.95
Morrow,2025,2,4,9.76,0.75,0.95
Multnomah,2025,2,4,9.76,0.75,0.95
Polk,2025,2,4,9.79,0.75,0.95
Sherman,2025,2,4,9.82,0.75,0.95
Tillamook,2025,2,4,9.78,0.75,0.95
Umatilla,2025,2,4,9.77,0.75,0.95
Union,2025,2,4,9.72,0.75,0.95
Wallowa,2025,2,4,9.90,0.75,0.95
Wasco,2025,2,4,9.76,0.75,0.95
Washington,2025,2,4,9.77,0.75,0.95
Wheeler,2025,2,4,9.66,0.75,0.95
Yamhill,2025,2,4,9.77,0.75,0.95
Baker,2030,2,4,9.47,0.8,0.95
Benton,2030,2,4,9.46,0.8,0.95
Clackamas,2030,2,4,9.44,0.8,0.95
Clatsop,2030,2,4,9.46,0.8,0.95
Columbia,2030,2,4,9.47,0.8,0.95
Coos,2030,2,4,9.43,0.8,0.95
Crook,2030,2,4,9.49,0.8,0.95
Curry,2030,2,4,9.43,0.8,0.95
Deschutes,2030,2,4,9.44,0.8,0.95
Douglas,2030,2,4,9.44,0.8,0.95
Gilliam,2030,2,4,9.54,0.8,0.95
Grant,2030,2,4,9.46,0.8,0.95
Harney,2030,2,4,9.47,0.8,0.95
Hood River,2030,2,4,9.49,0.8,0.95
Jackson,2030,2,4,9.46,0.8,0.95
Jefferson,2030,2,4,9.48,0.8,0.95
Josephine,2030,2,4,9.46,0.8,0.95
Klamath,2030,2,4,9.47,0.8,0.95
Lake,2030,2,4,9.49,0.8,0.95
Lane,2030,2,4,9.45,0.8,0.95
Lincoln,2030,2,4,9.50,0.8,0.95
Linn,2030,2,4,9.47,0.8,0.95
Malheur,2030,2,4,9.43,0.8,0.95
Marion,2030,2,4,9.44,0.8,0.95
Morrow,2030,2,4,9.45,0.8,0.95
Multnomah,2030,2,4,9.43,0.8,0.95
Polk,2030,2,4,9.46,0.8,0.95
Sherman,2030,2,4,9.40,0.8,0.95
Tillamook,2030,2,4,9.48,0.8,0.95
Umatilla,2030,2,4,9.44,0.8,0.95
Union,2030,2,4,9.42,0.8,0.95
Wallowa,2030,2,4,9.58,0.8,0.95
Wasco,2030,2,4,9.43,0.8,0.95
Washington,2030,2,4,9.45,0.8,0.95
Wheeler,2030,2,4,9.36,0.8,0.95
Yamhill,2030,2,4,9.46,0.8,0.95
Baker,2035,2,4,9.20,0.8,0.95
Benton,2035,2,4,9.14,0.8,0.95
Clackamas,2035,2,4,9.12,0.8,0.95
Clatsop,2035,2,4,9.13,0.8,0.95
Columbia,2035,2,4,9.14,0.8,0.95
Coos,2035,2,4,9.10,0.8,0.95
Crook,2035,2,4,9.19,0.8,0.95
Curry,2035,2,4,9.07,0.8,0.95
Deschutes,2035,2,4,9.11,0.8,0.95
Douglas,2035,2,4,9.13,0.8,0.95
Gilliam,2035,2,4,9.18,0.8,0.95
Grant,2035,2,4,9.15,0.8,0.95
Harney,2035,2,4,9.22,0.8,0.95
Hood River,2035,2,4,9.19,0.8,0.95
Jackson,2035,2,4,9.12,0.8,0.95
Jefferson,2035,2,4,9.16,0.8,0.95
Josephine,2035,2,4,9.15,0.8,0.95
Klamath,2035,2,4,9.15,0.8,0.95
Lake,2035,2,4,9.23,0.8,0.95
Lane,2035,2,4,9.13,0.8,0.95
Lincoln,2035,2,4,9.18,0.8,0.95
Linn,2035,2,4,9.15,0.8,0.95
Malheur,2035,2,4,9.09,0.8,0.95
Marion,2035,2,4,9.12,0.8,0.95
Morrow,2035,2,4,9.14,0.8,0.95
Multnomah,2035,2,4,9.10,0.8,0.95
Polk,2035,2,4,9.13,0.8,0.95
Sherman,2035,2,4,8.97,0.8,0.95
Tillamook,2035,2,4,9.18,0.8,0.95
Umatilla,2035,2,4,9.11,0.8,0.95
Union,2035,2,4,9.13,0.8,0.95
Wallowa,2035,2,4,9.26,0.8,0.95
Wasco,2035,2,4,9.09,0.8,0.95
Washington,2035,2,4,9.12,0.8,0.95
Wheeler,2035,2,4,9.07,0.8,0.95
Yamhill,2035,2,4,9.15,0.8,0.95
Baker,2040,2,4,8.73,0.85,0.95
Benton,2040,2,4,8.73,0.85,0.95
Clackamas,2040,2,4,8.74,0.85,0.95
Clatsop,2040,2,4,8.75,0.85,0.95
Columbia,2040,2,4,8.68,0.85,0.95
Coos,2040,2,4,8.72,0.85,0.95
Crook,2040,2,4,8.80,0.85,0.95
Curry,2040,2,4,8.81,0.85,0.95
Deschutes,2040,2,4,8.74,0.85,0.95
Douglas,2040,2,4,8.73,0.85,0.95
Gilliam,2040,2,4,8.65,0.85,0.95
Grant,2040,2,4,8.70,0.85,0.95
Harney,2040,2,4,8.67,0.85,0.95
Hood River,2040,2,4,8.73,0.85,0.95
Jackson,2040,2,4,8.73,0.85,0.95
Jefferson,2040,2,4,8.75,0.85,0.95
Josephine,2040,2,4,8.76,0.85,0.95
Klamath,2040,2,4,8.75,0.85,0.95
Lake,2040,2,4,8.82,0.85,0.95
Lane,2040,2,4,8.73,0.85,0.95
Lincoln,2040,2,4,8.73,0.85,0.95
Linn,2040,2,4,8.74,0.85,0.95
Malheur,2040,2,4,8.73,0.85,0.95
Marion,2040,2,4,8.73,0.85,0.95
Morrow,2040,2,4,8.75,0.85,0.95
Multnomah,2040,2,4,8.72,0.85,0.95
Polk,2040,2,4,8.72,0.85,0.95
Sherman,2040,2,4,8.49,0.85,0.95
Tillamook,2040,2,4,8.76,0.85,0.95
Umatilla,2040,2,4,8.73,0.85,0.95
Union,2040,2,4,8.73,0.85,0.95
Wallowa,2040,2,4,8.72,0.85,0.95
Wasco,2040,2,4,8.65,0.85,0.95
Washington,2040,2,4,8.72,0.85,0.95
Wheeler,2040,2,4,8.58,0.85,0.95
Yamhill,2040,2,4,8.71,0.85,0.95
Baker,2045,2,4,8.35,0.85,0.95
Benton,2045,2,4,8.32,0.85,0.95
Clackamas,2045,2,4,8.31,0.85,0.95
Clatsop,2045,2,4,8.34,0.85,0.95
Columbia,2045,2,4,8.30,0.85,0.95
Coos,2045,2,4,8.35,0.85,0.95
Crook,2045,2,4,8.34,0.85,0.95
Curry,2045,2,4,8.25,0.85,0.95
Deschutes,2045,2,4,8.33,0.85,0.95
Douglas,2045,2,4,8.31,0.85,0.95
Gilliam,2045,2,4,8.40,0.85,0.95
Grant,2045,2,4,8.29,0.85,0.95
Harney,2045,2,4,8.30,0.85,0.95
Hood River,2045,2,4,8.32,0.85,0.95
Jackson,2045,2,4,8.33,0.85,0.95
Jefferson,2045,2,4,8.35,0.85,0.95
Josephine,2045,2,4,8.33,0.85,0.95
Klamath,2045,2,4,8.34,0.85,0.95
Lake,2045,2,4,8.30,0.85,0.95
Lane,2045,2,4,8.33,0.85,0.95
Lincoln,2045,2,4,8.34,0.85,0.95
Linn,2045,2,4,8.31,0.85,0.95
Malheur,2045,2,4,8.31,0.85,0.95
Marion,2045,2,4,8.32,0.85,0.95
Morrow,2045,2,4,8.34,0.85,0.95
Multnomah,2045,2,4,8.30,0.85,0.95
Polk,2045,2,4,8.33,0.85,0.95
Sherman,2045,2,4,8.54,0.85,0.95
Tillamook,2045,2,4,8.31,0.85,0.95
Umatilla,2045,2,4,8.34,0.85,0.95
Union,2045,2,4,8.31,0.85,0.95
Wallowa,2045,2,4,8.17,0.85,0.95
Wasco,2045,2,4,8.25,0.85,0.95
Washington,2045,2,4,8.33,0.85,0.95
Wheeler,2045,2,4,8.42,0.85,0.95
Yamhill,2045,2,4,8.34,0.85,0.95
Baker,2050,2,4,7.89,0.85,0.95
Benton,2050,2,4,7.88,0.85,0.95
Clackamas,2050,2,4,7.87,0.85,0.95
Clatsop,2050,2,4,7.89,0.85,0.95
Columbia,2050,2,4,7.92,0.85,0.95
Coos,2050,2,4,7.91,0.85,0.95
Crook,2050,2,4,7.92,0.85,0.95
Curry,2050,2,4,7.85,0.85,0.95
Deschutes,2050,2,4,7.88,0.85,0.95
Douglas,2050,2,4,7.90,0.85,0.95
Gilliam,2050,2,4,8.15,0.85,0.95
Grant,2050,2,4,7.91,0.85,0.95
Harney,2050,2,4,7.94,0.85,0.95
Hood River,2050,2,4,7.89,0.85,0.95
Jackson,2050,2,4,7.87,0.85,0.95
Jefferson,2050,2,4,7.91,0.85,0.95
Josephine,2050,2,4,7.84,0.85,0.95
Klamath,2050,2,4,7.92,0.85,0.95
Lake,2050,2,4,7.94,0.85,0.95
Lane,2050,2,4,7.88,0.85,0.95
Lincoln,2050,2,4,7.86,0.85,0.95
Linn,2050,2,4,7.85,0.85,0.95
Malheur,2050,2,4,7.93,0.85,0.95
Marion,2050,2,4,7.88,0.85,0.95
Morrow,2050,2,4,7.90,0.85,0.95
Multnomah,2050,2,4,7.88,0.85,0.95
Polk,2050,2,4,7.90,0.85,0.95
Sherman,2050,2,4,7.94,0.85,0.95
Tillamook,2050,2,4,7.90,0.85,0.95
Umatilla,2050,2,4,7.90,0.85,0.95
Union,2050,2,4,7.87,0.85,0.95
Wallowa,2050,2,4,7.89,0.85,0.95
Wasco,2050,2,4,7.90,0.85,0.95
Washington,2050,2,4,7.88,0.85,0.95
Wheeler,2050,2,4,8.05,0.85,0.95
Yamhill,2050,2,4,7.89,0.85,0.95
